ciBusinessName,ciFiscalCode,ptBusinessName,ptFiscalCode
Accademia di Belle Arti di Bari,80015790720,Dedagroup Public Services S.R.L.,1727860221
Accademia di Belle Arti di Bologna,80080230370,Advanced Systems S.p.A.,3383350638
Accademia di Belle Arti di Brera,80094690155,"Banca Popolare di Sondrio, Società Cooperativa per Azioni",53810149
Accademia di Belle Arti di Carrara,82002550455,Dedagroup Public Services S.R.L.,1727860221
Accademia di Belle Arti di Catania,80011550870,CINECA consorzio universitario,317740371
Accademia di Belle Arti di Catanzaro,80005690799,Dedagroup Public Services S.R.L.,1727860221
Accademia di Belle Arti di Firenze,80019050485,BPER BANCA Spa,3830780361
Accademia di Belle Arti di Firenze,80019050485,CINECA consorzio universitario,317740371
Accademia di Belle Arti di Foggia,80003160712,"Banca Popolare di Sondrio, Società Cooperativa per Azioni",53810149
Accademia di Belle Arti di Frosinone,80006930608,eRemind srl – PMPAY,11311050964
Accademia di Belle Arti di Frosinone,80006930608,NETTuno S.r.l.,5600060965
Accademia di Belle Arti di Lecce,93021080754,CINECA consorzio universitario,317740371
Accademia di Belle Arti di Lecce,93021080754,"Banca Popolare di Sondrio, Società Cooperativa per Azioni",53810149
Accademia di Belle Arti di Macerata,80006160438,CINECA consorzio universitario,317740371
Accademia di Belle Arti di Macerata,80006160438,"Banca Popolare di Sondrio, Società Cooperativa per Azioni",53810149
Accademia di Belle Arti di Palermo,80028180828,"Unicredit, Societa' per Azioni",348170101
Accademia di Belle Arti di Palermo,80028180828,NETTuno S.r.l.,5600060965
Accademia di Belle Arti di Roma,80228830586,Dedagroup Public Services S.R.L.,1727860221
Accademia di Belle Arti di Roma,80228830586,"Banca Popolare di Sondrio, Società Cooperativa per Azioni",53810149
Accademia di Belle Arti di Urbino,82004850416,Crédit Agricole Group Solutions Società Consortile per azioni,2771790348
Accademia di Belle Arti di Urbino,82004850416,Numera Sistemi e Informatica SpA,1265230902
Accademia di Belle Arti di Venezia,80013420270,CINECA consorzio universitario,317740371
Accademia di Belle Arti di Venezia,80013420270,"Banca Popolare di Sondrio, Società Cooperativa per Azioni",53810149
Accademia di belle arti di Verona,04093500231,NETTuno S.r.l.,5600060965
Accademia di Belle Arti L'Aquila,80006960662,"Banca Popolare di Sondrio, Società Cooperativa per Azioni",53810149
Accademia di Belle Arti Mario Sironi,92021370900,Dedagroup Public Services S.R.L.,1727860221
Accademia di Belle Arti Reggio Calabria,80007690805,Regione Calabria,2205340793
Accademia di Belle Arti Reggio Calabria,80007690805,Dedagroup Public Services S.R.L.,1727860221
Accademia di Belle Arti Reggio Calabria,80007690805,Dipartimento della funzione pubblica della Presidenza del consiglio dei ministri,80243510585
"Accademia di Belle Arti Statale ""Ligustica""",80041430101,"Banca Popolare di Sondrio, Società Cooperativa per Azioni",53810149
ACCADEMIA DI BELLE ARTI STATALE DI RAVENNA,92099140391,Dedagroup Public Services S.R.L.,1727860221
Accademia Nazionale D'Arte Drammatica,80218690586,CINECA consorzio universitario,317740371
Accademia Nazionale D'Arte Drammatica,80218690586,Dedagroup Public Services S.R.L.,1727860221
Accademia Nazionale dei Lincei,80146810587,"Banca Popolare di Sondrio, Società Cooperativa per Azioni",53810149
Accademia Nazionale di Danza,80210990588,Dedagroup Public Services S.R.L.,1727860221
Accademia Nazionale di Danza,80210990588,"Banca Popolare di Sondrio, Società Cooperativa per Azioni",53810149
Acea Energia spa,07305361003,Publiacqua SpA,5040110487
Acinque Energia Srl,03773040138,Engineering Ingegneria Informatica SpA,967720285
Acqua Novara Vco,02078000037,Engineering Ingegneria Informatica SpA,967720285
Acqua Novara Vco,02078000037,"Unicredit, Societa' per Azioni",348170101
ACQUA PUBBLICA SABINA S.P.A.,01138990575,Engineering Ingegneria Informatica SpA,967720285
Acqualatina SpA,02111020596,Poste Italiane S.P.A.,97103880585
ACQUAMBIENTE MARCHE SRL,02119730428,Novares Spa,12105121003
