RagioneSociale,CF,RegisteredOffice,ZipCode,digitalAddress,vatNumber
PlaNet S.r.l. Sistemi informatici,04809530480,,,,04809530480
PMPay s.r.l.,08747230962,,,,08747230962
Poste Italiane S.P.A.,97103880585,,,,97103880585
Prime Srl,02878030606,,,,02878030606
Progetti e Soluzioni SPA,06423240727,,,,06423240727
Progetto 2000 Group s.r.l.,06309130158,,,,06309130158
Publiservizi srl,03218060659,,,,03218060659
Publisys SPA,00975860768,,,,00975860768
Safety21 Spa,13365760159,,,,13365760159
San Marco SPA,04142440728,,,,04142440728
Servizi Locali SpA,03170580751,,,,03170580751
SETEC S.r.l.,09374391002,,,,09374391002
Si.Form Consulting srl,03943960827,,,,03943960827
SI.net Servizi Informatici S.r.L.,02743730125,,,,02743730125
SIMNT srl,04863810729,,,,04863810729
SINERGIE ATTIVE di MASSIMILIANO DI LULLO,12918061008,,,,12918061008
Sintax s.r.l.,02177970783,,,,02177970783
Siscom SPA,01778000040,,,,01778000040
SM SRL - SERVICEMATICA,04335070274,,,,04335070274
SmartHospital S.r.l.,02644830693,,,,02644830693
Smityx SRLs,04402990719,,,,04402990719
So.Te.I. Srl,02304550615,,,,02304550615
Società Almaviva S.p.A.,08450891000,,,,08450891000
Softline srl,12299030150,,,,12299030150
Software Consulitng S.r.l,04888921006,,,,04888921006
Sogei S.p.A,02327910580,,,,02327910580
Studi e Servizi alle Imprese S.r.l.,01528980855,,,,01528980855
SUSA SERVIZI TRIBUTARI S.R.L.,02510070903,,,,02510070903
SWD Group S.r.l.,03257851208,,,,03257851208
Technical Design s.r.l.,00595270042,,,,00595270042
Traffic Tecnology SpA,03298520242,,,,03298520242
Trisoft Executive Services S.R.L.,08102710012,,,,08102710012
UNIMATICA-RGI S.p.A.,02098391200,,,,02098391200
W.B.S.S. WEB BASED SOFTWARE SOLUTION DI BATTISTI ALESSANDRO,02753060595,,,,02753060595
WAN S.r.l.,03805290040,,,,03805290040
WEBLOOM S.r.L.,06457411004,,,,06457411004
WEMAPP SRLS,01931590762,,,,01931590762
Wrapper MyBank,97735020584,,,,97735020584
X DATANET S.R.L.,02488360369,,,,02488360369
Xevolab S.R.L,05273220268,,,,05273220268
ZIPPILLI GIAMPIERO,02018040671,,,,02018040671
